,tenure,PhoneService,Contract,MonthlyCharges,TotalCharges,Churn,Credit card (automatic),Electronic check,Mailed check,Total_tenure_ratio
0,1,0,0,29.85,29.85,0,0,1,0,29.85
1,34,1,1,56.95,1889.5,0,0,0,1,55.5735294117647
2,2,1,0,53.85,108.15,1,0,0,1,54.075
3,45,0,1,42.3,1840.75,0,0,0,0,40.90555555555556
4,2,1,0,70.7,151.65,1,0,1,0,75.825
5,8,1,0,99.65,820.5,1,0,1,0,102.5625
6,22,1,0,89.1,1949.4,0,1,0,0,88.60909090909091
7,10,0,0,29.75,301.9,0,0,0,1,30.189999999999998
8,28,1,0,104.8,3046.05,1,0,1,0,108.78750000000001
9,62,1,1,56.15,3487.95,0,0,0,0,56.25725806451613
10,13,1,0,49.95,587.45,0,0,0,1,45.18846153846154
11,16,1,2,18.95,326.8,0,1,0,0,20.425
12,58,1,1,100.35,5681.1,0,1,0,0,97.95
13,49,1,0,103.7,5036.3,1,0,0,0,102.78163265306122
14,25,1,0,105.5,2686.05,0,0,1,0,107.44200000000001
15,69,1,2,113.25,7895.15,0,1,0,0,114.42246376811593
16,52,1,1,20.65,1022.95,0,0,0,1,19.672115384615385
17,71,1,2,106.7,7382.25,0,0,0,0,103.97535211267606
18,10,1,0,55.2,528.35,1,1,0,0,52.835
19,21,1,0,90.05,1862.9,0,0,1,0,88.70952380952382
20,1,0,0,39.65,39.65,1,0,1,0,39.65
21,12,1,1,19.8,202.25,0,0,0,0,16.854166666666668
22,1,1,0,20.15,20.15,1,0,0,1,20.15
23,58,1,2,59.9,3505.1,0,1,0,0,60.432758620689654
24,49,1,0,59.6,2970.3,0,1,0,0,60.61836734693878
25,30,1,0,55.3,1530.6,0,0,0,0,51.019999999999996
26,47,1,0,99.35,4749.15,1,0,1,0,101.04574468085106
27,1,0,0,30.2,30.2,1,0,1,0,30.2
28,72,1,2,90.25,6369.45,0,1,0,0,88.46458333333334
29,17,1,0,64.7,1093.1,1,0,0,1,64.3
30,71,1,2,96.35,6766.95,0,1,0,0,95.30915492957746
31,2,1,0,95.5,181.65,0,1,0,0,90.825
32,27,1,1,66.15,1874.45,0,0,0,1,69.42407407407407
33,1,1,0,20.2,20.2,0,0,0,0,20.2
34,1,1,0,45.25,45.25,0,0,0,0,45.25
35,72,1,2,99.9,7251.7,0,0,0,0,100.71805555555555
36,5,1,0,69.7,316.9,1,0,1,0,63.379999999999995
37,46,1,0,74.8,3548.3,0,1,0,0,77.13695652173914
38,34,1,0,106.35,3549.25,1,0,1,0,104.38970588235294
39,11,1,0,97.85,1105.4,1,0,0,0,100.4909090909091
40,10,1,1,49.55,475.7,0,0,0,1,47.57
41,70,1,2,69.2,4872.35,0,1,0,0,69.605
42,17,1,1,20.75,418.25,0,0,0,1,24.602941176470587
43,63,1,2,79.85,4861.45,0,1,0,0,77.16587301587302
44,13,1,0,76.2,981.45,0,0,1,0,75.49615384615385
45,49,1,0,84.5,3906.7,0,0,1,0,79.72857142857143
46,2,1,0,49.25,97.0,0,0,0,1,48.5
47,2,1,0,80.65,144.15,1,0,1,0,72.075
48,52,1,2,79.75,4217.8,0,1,0,0,81.11153846153846
49,69,1,2,64.15,4254.1,0,1,0,0,61.6536231884058
50,43,1,0,90.25,3838.75,0,0,1,0,89.27325581395348
51,15,1,0,99.1,1426.4,1,1,0,0,95.09333333333333
52,25,1,0,69.5,1752.65,0,1,0,0,70.10600000000001
53,8,1,0,80.65,633.3,1,1,0,0,79.1625
54,60,1,1,74.85,4456.35,0,1,0,0,74.27250000000001
55,18,1,0,95.45,1752.55,1,0,1,0,97.36388888888888
56,63,1,1,99.65,6311.2,0,1,0,0,100.17777777777778
57,66,1,1,108.45,7076.35,0,0,1,0,107.21742424242424
58,34,1,2,24.95,894.3,0,1,0,0,26.302941176470586
59,72,1,2,107.5,7853.7,0,1,0,0,109.07916666666667
60,47,1,0,100.5,4707.1,0,0,1,0,100.15106382978725
61,60,1,0,89.9,5450.7,0,0,0,0,90.845
62,72,0,2,42.1,2962.0,0,0,0,0,41.138888888888886
63,18,1,1,54.4,957.1,0,1,0,0,53.172222222222224
64,9,1,0,94.4,857.25,1,0,1,0,95.25
65,3,1,0,75.3,244.1,0,0,1,0,81.36666666666666
66,47,1,1,78.9,3650.35,0,0,1,0,77.66702127659575
67,31,1,2,79.2,2497.2,0,0,0,1,80.55483870967741
68,50,1,2,20.15,930.9,0,0,0,0,18.618
69,10,1,0,79.85,887.35,0,0,0,1,88.735
70,1,1,0,49.05,49.05,0,0,0,1,49.05
71,52,1,1,20.4,1090.65,0,0,1,0,20.974038461538463
72,64,1,2,111.6,7099.0,0,0,0,0,110.921875
73,62,1,2,24.25,1424.6,0,0,0,0,22.97741935483871
74,3,1,0,64.5,177.4,0,0,0,0,59.13333333333333
75,56,1,1,110.5,6139.5,0,0,1,0,109.63392857142857
76,46,1,1,55.65,2688.85,0,1,0,0,58.45326086956521
77,8,1,0,54.65,482.25,0,0,0,1,60.28125
78,30,1,0,74.75,2111.3,0,0,1,0,70.37666666666668
79,45,1,1,25.9,1216.6,0,1,0,0,27.035555555555554
80,1,1,0,79.35,79.35,1,0,1,0,79.35
81,11,0,0,50.55,565.35,0,0,1,0,51.39545454545455
82,7,1,0,75.15,496.9,1,0,0,0,70.98571428571428
83,42,1,0,103.8,4327.5,0,0,0,0,103.03571428571429
84,49,1,2,20.15,973.35,0,0,0,0,19.864285714285714
85,9,1,0,99.3,918.75,0,1,0,0,102.08333333333333
86,35,1,1,62.15,2215.45,0,0,0,0,63.29857142857142
87,48,1,2,20.65,1057.0,0,0,0,0,22.020833333333332
88,46,1,2,19.95,927.1,0,0,0,1,20.15434782608696
89,29,0,0,33.75,1009.25,0,0,0,1,34.80172413793103
90,30,1,0,82.05,2570.2,0,0,0,0,85.67333333333333
91,1,1,0,74.7,74.7,0,0,1,0,74.7
92,66,1,2,84.0,5714.25,0,0,0,1,86.57954545454545
93,65,1,0,111.05,7107.0,0,1,0,0,109.33846153846154
94,72,1,2,100.9,7459.05,0,0,0,0,103.59791666666666
95,12,1,0,78.95,927.35,1,0,1,0,77.27916666666667
96,71,1,1,66.85,4748.7,0,1,0,0,66.8830985915493
97,5,1,0,21.05,113.85,1,0,0,1,22.77
98,52,1,2,21.0,1107.2,0,0,0,0,21.292307692307695
99,25,1,0,98.5,2514.5,1,0,1,0,100.58
100,1,1,0,20.2,20.2,0,0,0,1,20.2
101,1,1,0,19.45,19.45,0,0,1,0,19.45
102,38,1,1,95.0,3605.6,0,0,0,0,94.88421052631578
103,66,0,1,45.55,3027.25,0,0,0,0,45.86742424242424
104,68,1,2,110.0,7611.85,1,0,0,0,111.93897058823529
105,5,0,0,24.3,100.2,0,0,0,1,20.04
106,72,1,1,104.15,7303.05,0,0,1,0,101.43125
107,32,0,1,30.15,927.65,0,0,0,1,28.9890625
108,43,1,1,94.35,3921.3,0,0,0,1,91.19302325581396
109,72,1,2,19.4,1363.25,0,1,0,0,18.93402777777778
110,55,1,0,96.75,5238.9,1,0,1,0,95.25272727272727
111,52,1,1,57.95,3042.25,0,1,0,0,58.50480769230769
112,43,1,0,91.65,3954.1,0,0,1,0,91.95581395348837
113,37,1,0,76.5,2868.15,1,0,1,0,77.51756756756757
114,64,0,2,54.6,3423.5,0,0,1,0,53.4921875
115,3,1,0,89.85,248.4,0,0,1,0,82.8
116,36,0,2,31.05,1126.35,0,0,0,0,31.287499999999998
117,10,1,0,100.25,1064.65,1,0,1,0,106.465
118,41,1,2,20.65,835.15,0,0,0,1,20.36951219512195
119,27,1,0,85.2,2151.6,0,1,0,0,79.68888888888888
120,56,1,1,99.8,5515.45,0,1,0,0,98.49017857142857
121,6,1,0,20.7,112.75,0,0,0,1,18.791666666666668
122,3,1,0,74.4,229.55,1,0,1,0,76.51666666666667
123,7,1,0,50.7,350.35,0,0,0,1,50.050000000000004
124,4,1,0,20.85,62.9,0,0,0,1,15.725
125,33,1,2,88.95,3027.65,0,0,1,0,91.7469696969697
126,27,1,0,78.05,2135.5,1,0,1,0,79.0925925925926
127,72,1,2,23.55,1723.95,0,0,0,0,23.94375
128,1,1,0,19.75,19.75,0,0,0,1,19.75
129,71,0,1,56.45,3985.35,0,0,1,0,56.131690140845066
130,13,1,0,85.95,1215.65,0,0,1,0,93.51153846153846
131,25,0,0,58.6,1502.65,1,1,0,0,60.106
132,67,1,2,50.55,3260.1,0,0,0,0,48.65820895522388
133,1,0,0,35.45,35.45,1,0,1,0,35.45
134,2,1,0,44.35,81.25,1,0,1,0,40.625
135,43,1,2,25.7,1188.2,0,1,0,0,27.632558139534886
136,23,1,0,75.0,1778.5,0,0,0,0,77.32608695652173
